geonameid,name,country_code,country,latitude,longitude,elevation_m,population,timezone,duration_seconds,seconds_sacrificed,sun_altitude_deg,max_eclipse_ut_hours,distance_from_centerline_km
70346,Al ‘Inān,YE,Yemen,16.72189,44.31252,2131,100,Asia/Aden,357.4,25.7,67.57,10.71615,0.5
73668,Kitāf,YE,Yemen,17.03165,44.10905,1953,0,Asia/Aden,357.0,26.1,68.01,10.701076,10.2
7345723,Al Hijrah,YE,Yemen,17.29788,43.38718,2449,0,Asia/Aden,356.8,26.4,69.12,10.672832,19.8
406761,Rajūzah,YE,Yemen,16.70056,44.41454,2077,0,Asia/Aden,356.7,26.4,67.42,10.719596,5.1
406635,Al Ḩashwah,YE,Yemen,16.90641,44.27622,1537,0,Asia/Aden,356.0,27.2,67.72,10.709461,12.0
87192,Daryānah,LY,Libya,32.34751,20.30933,8,7558,Africa/Tripoli,355.9,27.3,67.85,9.517881,33.4
406884,Al Ḩumaydāt,YE,Yemen,16.4844,44.42934,1305,0,Asia/Aden,355.5,27.6,67.28,10.726487,11.5
406845,Al Khirāb,YE,Yemen,16.5544,44.29048,1380,0,Asia/Aden,354.8,28.3,67.51,10.720553,15.8
71334,Sa'dah,YE,Yemen,16.94021,43.76393,1876,51870,Asia/Aden,354.3,28.8,68.42,10.69426,22.1
79455,Al Ḩazm,YE,Yemen,16.16406,44.77692,1116,18241,Asia/Aden,353.9,29.2,66.64,10.745678,12.6
12500245,Sarāt ‘Abīdah,SA,Saudi Arabia,18.089,43.132,2325,19855,Asia/Riyadh,353.6,29.5,69.86,10.641422,26.9
8534038,Majz,YE,Yemen,17.06939,43.57507,2001,0,Asia/Aden,353.5,29.6,68.75,10.685046,25.1
81604,Qaryat Sulūq,LY,Libya,31.66818,20.25205,55,19918,Africa/Tripoli,353.2,30.0,68.3,9.526056,38.4
358269,Dayrūţ,EG,Egypt,27.55642,30.81057,51,102570,Africa/Cairo,352.6,30.5,80.15,9.974731,49.6
77529,Az Zāhir,YE,Yemen,16.31733,44.49505,1206,0,Asia/Aden,352.2,30.9,67.1,10.733355,20.4
407129,Ar Rawḑ,YE,Yemen,16.06145,44.81012,1099,0,Asia/Aden,351.8,31.3,66.53,10.749691,18.6
407042,Al Matūn,YE,Yemen,16.23063,44.58476,1164,0,Asia/Aden,351.6,31.5,66.93,10.738435,21.0
407048,Al Maşlūb,YE,Yemen,16.18271,44.62613,1152,0,Asia/Aden,351.0,32.1,66.85,10.741017,22.0
407036,Ḩişn Banī Sa‘d,YE,Yemen,16.27293,44.47728,1192,0,Asia/Aden,349.9,33.3,67.1,10.734217,25.4
407049,Al Ghayl,YE,Yemen,16.10774,44.68005,1137,0,Asia/Aden,349.7,33.4,66.73,10.74476,24.2
78019,Asdās,YE,Yemen,15.76601,45.08151,1102,0,Asia/Aden,348.7,34.4,66.0,10.765973,23.1
7683765,Ash Shawātī,YE,Yemen,16.78314,43.81265,1992,25,Asia/Aden,348.7,34.4,68.27,10.700424,31.5
77726,Ataq,YE,Yemen,14.53767,46.83187,1148,37315,Asia/Aden,347.0,36.1,62.95,10.848788,4.1
7345827,Sūq al Khamīs,YE,Yemen,17.18126,43.28811,1863,0,Asia/Aden,346.8,36.3,69.19,10.673532,36.5
13157454,Al-Juwain,SA,Saudi Arabia,17.53756,42.85038,950,3500,Asia/Riyadh,346.4,36.7,69.97,10.650098,38.5
77862,Aş Şa‘īd,YE,Yemen,14.33011,46.87292,1253,0,Asia/Aden,345.9,37.2,62.77,10.856047,9.9
8356686,Al Ḩuşūn,YE,Yemen,15.4739,45.36691,1076,0,Asia/Aden,345.9,37.2,65.45,10.782445,26.2
75518,Ḩabbān,YE,Yemen,14.35411,47.07649,973,0,Asia/Aden,345.6,37.5,62.52,10.860454,7.0
108617,An Nimas,SA,Saudi Arabia,19.14547,42.12009,2385,24153,Asia/Riyadh,344.9,38.2,71.7,10.580003,42.1
106667,Fayfā’,SA,Saudi Arabia,17.2806,43.13735,898,29793,Asia/Riyadh,344.9,38.3,69.45,10.666121,39.1
355449,Esna,EG,Egypt,25.29336,32.55402,86,462787,Africa/Cairo,344.5,38.6,82.15,10.093281,56.8
72968,Ma'rib,YE,Yemen,15.46253,45.32581,1095,16794,Asia/Aden,343.7,39.4,65.5,10.781696,30.1
11125824,AL-khashā upper,YE,Yemen,14.34044,46.71365,1260,1100,Asia/Aden,343.2,40.0,62.98,10.85168,20.7
8308217,Khimār,YE,Yemen,14.3198,46.73922,1300,3000,Asia/Aden,343.1,40.0,62.94,10.852956,20.5
72181,Nişāb,YE,Yemen,14.50743,46.49349,1088,0,Asia/Aden,342.9,40.2,63.38,10.841019,23.1
2473570,Mahires,TN,Tunisia,34.5275,10.50083,9,15878,Africa/Tunis,342.6,40.5,55.97,9.185014,9.1
84257,Qamīnis,LY,Libya,31.6576,20.01697,20,8688,Africa/Tripoli,342.6,40.6,68.06,9.518244,48.0
69769,‘Usaylān,YE,Yemen,15.03201,45.82832,1036,0,Asia/Aden,342.5,40.6,64.57,10.807974,28.7
359823,As Sibā‘īyah,EG,Egypt,25.19413,32.6771,86,21610,Africa/Cairo,342.1,41.0,82.18,10.100181,58.4
2466698,Sidi Abid,TN,Tunisia,34.69999,10.69501,15,33419,Africa/Tunis,341.6,41.5,56.11,9.189817,13.5
2472379,Bir Ali Ben Khalifa,TN,Tunisia,34.73592,10.0924,172,4905,Africa/Tunis,341.6,41.5,55.43,9.171975,5.8
2473859,Agareb,TN,Tunisia,34.74059,10.52527,83,11513,Africa/Tunis,340.7,42.4,55.9,9.184611,14.6
406737,Al Maḩjal,YE,Yemen,16.71169,44.84769,1436,0,Asia/Aden,340.2,42.9,66.84,10.731003,37.3
34717,Majzar,YE,Yemen,15.85,44.775,1206,0,Asia/Aden,339.6,43.5,66.46,10.755169,38.4
361405,Al Başalīyah Baḩrī,EG,Egypt,25.15,32.71667,84,32920,Africa/Cairo,339.6,43.5,82.2,10.102732,60.1
2467454,Sfax,TN,Tunisia,34.74056,10.76028,8,280566,Africa/Tunis,339.6,43.5,56.16,9.191521,19.2
